Model,Best Threshold,Youden_J,Accuracy (%),Sensitivity,Specificity,Precision,AUC
XGBoost,0.7000000000000001,0.7904761904761903,90.19607843137256,0.9333333333333333,0.8571428571428571,0.9032258064516129,0.9349206349206349
LightGBM,0.7000000000000001,0.7571428571428571,88.23529411764706,0.9,0.8571428571428571,0.9,0.9079365079365079
Random Forest,0.6,0.6619047619047618,84.31372549019608,0.9,0.7619047619047619,0.84375,0.8952380952380953
Logistic Regression,0.7000000000000001,0.6428571428571428,82.35294117647058,0.8333333333333334,0.8095238095238095,0.8620689655172413,0.8698412698412697
